image,id,rect,labels,annotator,annotation_id,created_at,updated_at,lead_time
gs://input-bucket-2e42ed/frame_4.jpg,92025,"[{""x"": 54.25236905285802, ""y"": 0, ""width"": 8.36885966921684, ""height"": 35.17397308776514, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 54.25236905285802, ""y"": 0, ""width"": 8.36885966921684, ""height"": 35.17397308776514, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27403,2022-11-14T12:50:31.995655Z,2022-11-14T12:50:31.995681Z,32.438
gs://input-bucket-2e42ed/frame_382.jpg,92006,"[{""x"": 71.33333333333317, ""y"": 65.4028436018957, ""width"": 24.93333333333335, ""height"": 34.597156398104225, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 71.33333333333317, ""y"": 65.4028436018957, ""width"": 24.93333333333335, ""height"": 34.597156398104225, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27422,2022-11-14T12:52:13.869301Z,2022-11-14T12:52:13.869323Z,22.626
gs://input-bucket-2e42ed/frame_381.jpg,92005,"[{""x"": 59.733333333333356, ""y"": 78.4360189573458, ""width"": 21.33333333333324, ""height"": 21.563981042653978, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 59.733333333333356, ""y"": 78.4360189573458, ""width"": 21.33333333333324, ""height"": 21.563981042653978, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27423,2022-11-14T12:52:43.423816Z,2022-11-14T12:52:43.423839Z,28.086
gs://input-bucket-2e42ed/frame_380.jpg,92004,"[{""x"": 58.38245584235881, ""y"": 78.47654338226646, ""width"": 18.9526398333207, ""height"": 21.29448367499153, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 72.81930423524916, ""y"": 92.82551446075523, ""width"": 6.157897418768475, ""height"": 7.174485539244556, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 58.38245584235881, ""y"": 78.47654338226646, ""width"": 18.9526398333207, ""height"": 21.29448367499153, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 72.81930423524916, ""y"": 92.82551446075523, ""width"": 6.157897418768475, ""height"": 7.174485539244556, ""labels"": [""Package""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27432,2022-11-14T13:06:09.850742Z,2022-11-14T13:06:09.850762Z,805.133
gs://input-bucket-2e42ed/frame_379.jpg,92002,"[{""x"": 56.032986111111114, ""y"": 70.83333333333336, ""width"": 21.70138888888889, ""height"": 28.780864197530864, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 56.032986111111114, ""y"": 70.83333333333336, ""width"": 21.70138888888889, ""height"": 28.780864197530864, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27434,2022-11-14T13:06:36.931563Z,2022-11-14T13:06:36.931587Z,19.566
gs://input-bucket-2e42ed/frame_378.jpg,92001,"[{""x"": 51.509276771540364, ""y"": 61.74418388735075, ""width"": 19.78669282815175, ""height"": 38.25581611264925, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 51.509276771540364, ""y"": 61.74418388735075, ""width"": 19.78669282815175, ""height"": 38.25581611264925, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27436,2022-11-14T13:07:00.779672Z,2022-11-14T13:07:00.779694Z,22.421
gs://input-bucket-2e42ed/frame_377.jpg,92000,"[{""x"": 55.649659631627536, ""y"": 59.69896910286632, ""width"": 24.58848439314251, ""height"": 40.301030897132854, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 50.367688910138, ""y"": 75.0748644250659, ""width"": 14.115611410878206, ""height"": 24.92513557493368, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 55.649659631627536, ""y"": 59.69896910286632, ""width"": 24.58848439314251, ""height"": 40.301030897132854, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 50.367688910138, ""y"": 75.0748644250659, ""width"": 14.115611410878206, ""height"": 24.92513557493368, ""labels"": [""Package""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27466,2022-11-14T13:28:33.572470Z,2022-11-14T13:28:33.572492Z,1291.177
gs://input-bucket-2e42ed/frame_376.jpg,91999,"[{""x"": 57.19782346378854, ""y"": 61.964890518769685, ""width"": 23.677799785988945, ""height"": 38.03510948123008, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 49.82127814584569, ""y"": 75.39856748448064, ""width"": 15.299501400177345, ""height"": 24.601432515518713, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 57.19782346378854, ""y"": 61.964890518769685, ""width"": 23.677799785988945, ""height"": 38.03510948123008, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 49.82127814584569, ""y"": 75.39856748448064, ""width"": 15.299501400177345, ""height"": 24.601432515518713, ""labels"": [""Package""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27469,2022-11-14T13:29:18.897153Z,2022-11-14T13:29:18.897180Z,43.797
gs://input-bucket-2e42ed/frame_375.jpg,91998,"[{""x"": 57.24337756362907, ""y"": 62.03845939590955, ""width"": 23.429431256765408, ""height"": 37.96154060409043, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 50.12347972588407, ""y"": 75.57513278961622, ""width"": 14.57095371445478, ""height"": 24.424867210383756, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 57.24337756362907, ""y"": 62.03845939590955, ""width"": 23.429431256765408, ""height"": 37.96154060409043, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 50.12347972588407, ""y"": 75.57513278961622, ""width"": 14.57095371445478, ""height"": 24.424867210383756, ""labels"": [""Package""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27471,2022-11-14T13:30:09.244914Z,2022-11-14T13:30:09.244936Z,48.947
gs://input-bucket-2e42ed/frame_374.jpg,91997,"[{""x"": 53.96903258388187, ""y"": 62.18559715018896, ""width"": 27.320538214602987, ""height"": 37.814402849811025, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 49.91234660656174, ""y"": 75.28085728105742, ""width"": 15.647217341090798, ""height"": 24.71914271894256, ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]","[{""x"": 53.96903258388187, ""y"": 62.18559715018896, ""width"": 27.320538214602987, ""height"": 37.814402849811025, ""labels"": [""Person""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}, {""x"": 49.91234660656174, ""y"": 75.28085728105742, ""width"": 15.647217341090798, ""height"": 24.71914271894256, ""labels"": [""Package""], ""rotation"": 0, ""original_width"": 2304, ""original_height"": 1296}]",mounica@moiiai.com,27474,2022-11-14T13:30:57.295067Z,2022-11-14T13:30:57.295092Z,46.634
